	fecha	contaminante	medicion
383	2015-01-03 18:00:00	O3	18.0
384	2015-01-03 18:00:00	O3_y.3	34.0
385	2015-01-03 18:00:00	RH_2_x	44.33333333333334
386	2015-01-03 18:00:00	O3_y	34.0
387	2015-01-03 19:00:00	O3_y.2	24.0
388	2015-01-03 19:00:00	O3_y.1	24.0
389	2015-01-03 19:00:00	TMP_2_y	17.8
390	2015-01-03 19:00:00	O3	12.0
391	2015-01-03 19:00:00	O3_y.3	24.0
392	2015-01-03 19:00:00	RH_2_x	48.25
393	2015-01-03 19:00:00	O3_y	24.0
394	2015-01-03 19:00:00	TMP_x	16.675
395	2015-01-03 19:00:00	O3_x	16.75
396	2015-01-03 20:00:00	TMP_x	15.724999999999998
397	2015-01-03 20:00:00	O3_x	12.75
398	2015-01-03 20:00:00	RH_2_x	52.5
399	2015-01-03 20:00:00	O3_y.2	20.0
400	2015-01-03 20:00:00	TMP_2_y	16.9
401	2015-01-03 20:00:00	O3	8.0
402	2015-01-03 20:00:00	O3_y.3	20.0
403	2015-01-03 20:00:00	O3_y.1	20.0
404	2015-01-03 20:00:00	O3_y	20.0
405	2015-01-03 21:00:00	O3_y.1	18.0
406	2015-01-03 21:00:00	RH_2_x	56.5
407	2015-01-03 21:00:00	O3_y.3	18.0
408	2015-01-03 21:00:00	TMP_x	15.0
409	2015-01-03 21:00:00	O3	4.0
410	2015-01-03 21:00:00	TMP_2_y	16.3
411	2015-01-03 21:00:00	O3_x	9.5
412	2015-01-03 21:00:00	O3_y	18.0
413	2015-01-03 21:00:00	O3_y.2	18.0
414	2015-01-03 22:00:00	RH_2_x	59.25
415	2015-01-03 22:00:00	O3	2.0
416	2015-01-03 22:00:00	O3_x	5.0
417	2015-01-03 22:00:00	TMP_2_y	15.8
418	2015-01-03 22:00:00	O3_y.3	11.0
419	2015-01-03 22:00:00	O3_y.1	11.0
420	2015-01-03 22:00:00	TMP_x	14.125
421	2015-01-03 22:00:00	O3_y.2	11.0
422	2015-01-03 22:00:00	O3_y	11.0
423	2015-01-03 23:00:00	O3_y.3	3.0
424	2015-01-03 23:00:00	O3_y.1	3.0
425	2015-01-03 23:00:00	RH_2_x	62.0
426	2015-01-03 23:00:00	O3_y	3.0
427	2015-01-03 23:00:00	O3_y.2	3.0
428	2015-01-03 23:00:00	TMP_2_y	15.3
429	2015-01-03 23:00:00	TMP_x	13.425
430	2015-01-03 23:00:00	O3_x	1.75
431	2015-01-03 23:00:00	O3	1.0
