	fecha	O3_prediccion	medicion
390	2015-01-03 08:00:00	O3forecast_6	9.0
391	2015-01-03 08:00:00	O3forecast_12	13.0
392	2015-01-03 08:00:00	O3forecast_2	5.0
393	2015-01-03 08:00:00	O3forecast_10	17.0
394	2015-01-03 08:00:00	O3forecast_7	9.0
395	2015-01-03 08:00:00	O3forecast_3	5.0
396	2015-01-03 09:00:00	O3forecast_10	9.0
397	2015-01-03 09:00:00	O3forecast_8	4.0
398	2015-01-03 09:00:00	O3forecast_9	4.0
399	2015-01-03 09:00:00	O3forecast_11	9.0
400	2015-01-03 09:00:00	O3forecast_3	10.0
401	2015-01-03 09:00:00	O3forecast_2	10.0
402	2015-01-03 09:00:00	O3forecast_5	5.0
403	2015-01-03 09:00:00	O3forecast_4	5.0
404	2015-01-03 09:00:00	O3forecast_1	10.0
405	2015-01-03 09:00:00	O3forecast_12	17.0
406	2015-01-03 09:00:00	O3forecast_6	5.0
407	2015-01-03 09:00:00	O3forecast_7	5.0
408	2015-01-03 10:00:00	O3forecast_3	9.0
409	2015-01-03 10:00:00	O3forecast_5	10.0
410	2015-01-03 10:00:00	O3forecast_6	10.0
411	2015-01-03 10:00:00	O3forecast_4	10.0
412	2015-01-03 10:00:00	O3forecast_12	4.0
413	2015-01-03 10:00:00	O3forecast_10	5.0
414	2015-01-03 10:00:00	O3forecast_7	2.0
415	2015-01-03 10:00:00	O3forecast_2	22.0
416	2015-01-03 10:00:00	O3forecast_9	5.0
417	2015-01-03 10:00:00	O3forecast_11	3.0
418	2015-01-03 10:00:00	O3forecast_8	5.0
419	2015-01-03 10:00:00	O3forecast_1	22.0
420	2015-01-03 11:00:00	O3forecast_7	10.0
421	2015-01-03 11:00:00	O3forecast_6	22.0
422	2015-01-03 11:00:00	O3forecast_4	22.0
423	2015-01-03 11:00:00	O3forecast_8	10.0
424	2015-01-03 11:00:00	O3forecast_3	29.0
425	2015-01-03 11:00:00	O3forecast_5	22.0
426	2015-01-03 11:00:00	O3forecast_11	5.0
427	2015-01-03 11:00:00	O3forecast_2	29.0
428	2015-01-03 11:00:00	O3forecast_12	5.0
429	2015-01-03 11:00:00	O3forecast_10	10.0
430	2015-01-03 11:00:00	O3forecast_1	29.0
431	2015-01-03 11:00:00	O3forecast_9	10.0
432	2015-01-03 12:00:00	O3forecast_10	22.0
433	2015-01-03 12:00:00	O3forecast_5	29.0
434	2015-01-03 12:00:00	O3forecast_11	10.0
435	2015-01-03 12:00:00	O3forecast_3	30.0
436	2015-01-03 12:00:00	O3forecast_1	30.0
437	2015-01-03 12:00:00	O3forecast_2	30.0
438	2015-01-03 12:00:00	O3forecast_6	29.0
439	2015-01-03 12:00:00	O3forecast_8	22.0
440	2015-01-03 12:00:00	O3forecast_4	29.0
441	2015-01-03 12:00:00	O3forecast_7	29.0
442	2015-01-03 12:00:00	O3forecast_12	10.0
443	2015-01-03 12:00:00	O3forecast_9	22.0
444	2015-01-03 13:00:00	O3forecast_1	33.0
445	2015-01-03 13:00:00	O3forecast_9	29.0
446	2015-01-03 13:00:00	O3forecast_6	30.0
447	2015-01-03 13:00:00	O3forecast_4	30.0
448	2015-01-03 13:00:00	O3forecast_3	33.0
449	2015-01-03 13:00:00	O3forecast_7	30.0
450	2015-01-03 13:00:00	O3forecast_5	30.0
451	2015-01-03 13:00:00	O3forecast_2	33.0
452	2015-01-03 13:00:00	O3forecast_12	22.0
453	2015-01-03 13:00:00	O3forecast_10	29.0
454	2015-01-03 13:00:00	O3forecast_8	29.0
455	2015-01-03 13:00:00	O3forecast_11	29.0
456	2015-01-03 14:00:00	O3forecast_8	30.0
457	2015-01-03 14:00:00	O3forecast_6	33.0
458	2015-01-03 14:00:00	O3forecast_1	38.0
459	2015-01-03 14:00:00	O3forecast_9	30.0
460	2015-01-03 14:00:00	O3forecast_4	33.0
461	2015-01-03 14:00:00	O3forecast_12	29.0
462	2015-01-03 14:00:00	O3forecast_3	33.0
463	2015-01-03 14:00:00	O3forecast_11	25.0
464	2015-01-03 14:00:00	O3forecast_7	25.0
465	2015-01-03 14:00:00	O3forecast_10	30.0
466	2015-01-03 14:00:00	O3forecast_2	38.0
467	2015-01-03 14:00:00	O3forecast_5	33.0
468	2015-01-03 15:00:00	O3forecast_4	38.0
469	2015-01-03 15:00:00	O3forecast_9	25.0
470	2015-01-03 15:00:00	O3forecast_10	25.0
471	2015-01-03 15:00:00	O3forecast_8	33.0
472	2015-01-03 15:00:00	O3forecast_1	37.0
473	2015-01-03 15:00:00	O3forecast_12	30.0
474	2015-01-03 15:00:00	O3forecast_7	33.0
475	2015-01-03 15:00:00	O3forecast_6	33.0
476	2015-01-03 15:00:00	O3forecast_2	31.0
477	2015-01-03 15:00:00	O3forecast_5	32.0
478	2015-01-03 15:00:00	O3forecast_11	30.0
479	2015-01-03 15:00:00	O3forecast_3	38.0
480	2015-01-03 16:00:00	O3forecast_7	38.0
481	2015-01-03 16:00:00	O3forecast_4	37.0
482	2015-01-03 16:00:00	O3forecast_5	38.0
483	2015-01-03 16:00:00	O3forecast_10	33.0
484	2015-01-03 16:00:00	O3forecast_11	33.0
485	2015-01-03 16:00:00	O3forecast_9	33.0
486	2015-01-03 16:00:00	O3forecast_1	38.0
487	2015-01-03 16:00:00	O3forecast_3	37.0
488	2015-01-03 16:00:00	O3forecast_2	37.0
489	2015-01-03 16:00:00	O3forecast_6	38.0
490	2015-01-03 16:00:00	O3forecast_12	25.0
491	2015-01-03 16:00:00	O3forecast_8	33.0
492	2015-01-03 17:00:00	O3forecast_12	33.0
493	2015-01-03 17:00:00	O3forecast_10	38.0
494	2015-01-03 17:00:00	O3forecast_2	38.0
495	2015-01-03 17:00:00	O3forecast_4	38.0
496	2015-01-03 17:00:00	O3forecast_3	38.0
497	2015-01-03 17:00:00	O3forecast_5	37.0
498	2015-01-03 17:00:00	O3forecast_6	37.0
499	2015-01-03 17:00:00	O3forecast_11	33.0
500	2015-01-03 17:00:00	O3forecast_8	38.0
501	2015-01-03 17:00:00	O3forecast_9	38.0
502	2015-01-03 17:00:00	O3forecast_1	37.0
503	2015-01-03 17:00:00	O3forecast_7	37.0
504	2015-01-03 18:00:00	O3forecast_1	34.0
505	2015-01-03 18:00:00	O3forecast_12	38.0
506	2015-01-03 18:00:00	O3forecast_6	38.0
507	2015-01-03 18:00:00	O3forecast_4	37.0
508	2015-01-03 18:00:00	O3forecast_11	38.0
509	2015-01-03 18:00:00	O3forecast_7	38.0
