contaminante,valor,horas
PM2.5,0.29610000297554495,52.0
PM2.5,0.2923120091241775,53.0
PM2.5,0.28893827330407673,54.0
PM2.5,0.28609076590388133,55.0
PM2.5,0.2836428697535099,56.0
PM2.5,0.2813852129372607,57.0
PM2.5,0.27936239905522264,58.0
PM2.5,0.27754334386093893,59.0
PM2.5,0.2754277069023592,60.0
PM2.5,0.2732499488658464,61.0
PM2.5,0.2713423240742867,62.0
PM2.5,0.2696242934679661,63.0
PM2.5,0.26783300101535656,64.0
PM2.5,0.2659038758293648,65.0
PM2.5,0.2638710902442749,66.0
PM2.5,0.2616709365754143,67.0
PM2.5,0.2597661947052402,68.0
PM2.5,0.25796206483538137,69.0
PM2.5,0.25634877684655377,70.0
PM2.5,0.25507638040402597,71.0
PM2.5,0.2540985859828461,72.0
SO2,0.19614527745730057,1.0
SO2,0.20202184970409845,2.0
SO2,0.20717167150463758,3.0
SO2,0.2121749794708873,4.0
SO2,0.21692790017032124,5.0
SO2,0.2218118177617592,6.0
SO2,0.22674324127315007,7.0
SO2,0.2315298714191903,8.0
SO2,0.23576018850345332,9.0
SO2,0.23917907427827764,10.0
SO2,0.24204672990595408,11.0
SO2,0.24457046204455515,12.0
SO2,0.24664146248919366,13.0
SO2,0.24810679192145216,14.0
SO2,0.24910515081956563,15.0
SO2,0.24963930287225994,16.0
SO2,0.24964238208912035,17.0
SO2,0.24916255029226564,18.0
SO2,0.24848606142773308,19.0
SO2,0.24798482756587542,20.0
SO2,0.2472266182044815,21.0
SO2,0.24600945348355568,22.0
SO2,0.24437880356898553,23.0
SO2,0.2418433672128821,24.0
SO2,0.23908093863609645,25.0
SO2,0.23632233736234046,26.0
SO2,0.2335830715532371,27.0
SO2,0.23036362058248358,28.0
SO2,0.22677363259269737,29.0
SO2,0.2232752979362601,30.0
SO2,0.2199928541007794,31.0
SO2,0.21687964896411546,32.0
SO2,0.2137727167642928,33.0
SO2,0.2104868866849018,34.0
SO2,0.20754316028702124,35.0
SO2,0.20470413549054203,36.0
SO2,0.20242776950753455,37.0
SO2,0.19969436907320853,38.0
SO2,0.1967250945345439,39.0
SO2,0.19356576712015294,40.0
SO2,0.19070779745131336,41.0
SO2,0.1883349164174282,42.0
SO2,0.18623575063893294,43.0
SO2,0.18416356400223893,44.0
SO2,0.18162100520039598,45.0
SO2,0.17889538539723987,46.0
SO2,0.17626380552851534,47.0
SO2,0.17360501805796846,48.0
SO2,0.17122324329142474,49.0
SO2,0.16880416218000505,50.0
SO2,0.16646122866470137,51.0
SO2,0.16440596078908778,52.0
SO2,0.16229869902908625,53.0
SO2,0.15978402597268823,54.0
SO2,0.15697644927472504,55.0
SO2,0.15405140281302335,56.0
SO2,0.1512179232167952,57.0
SO2,0.14899621170588434,58.0
SO2,0.14731261968089043,59.0
SO2,0.14551962863185194,60.0
SO2,0.1438040352351648,61.0
SO2,0.14222505984182415,62.0
SO2,0.14058898111158916,63.0
SO2,0.13935142731953581,64.0
SO2,0.1385548922969787,65.0
SO2,0.13786233426675068,66.0
SO2,0.13672331109282015,67.0
SO2,0.13551364435693317,68.0
SO2,0.1344078944949738,69.0
SO2,0.13330995019597403,70.0
SO2,0.13232623431992027,71.0
SO2,0.13174120178618232,72.0
hora,0.0014122850561673016,1.0
hora,0.0013049002970929523,2.0
hora,0.0007366717730897006,3.0
hora,0.00025073213346419687,4.0
hora,-0.00037505621400778417,5.0
hora,-0.00048117933135414934,6.0
hora,-0.0007675257664132461,7.0
hora,-0.0007106257290393149,8.0
hora,-0.0006800319744010673,9.0
