,contaminante,valor,horas
612,SO2,0.17961051264835942,22
613,SO2,0.1683659604803847,23
614,SO2,0.19521675268775524,24
615,SO2,0.19124561645363883,25
616,SO2,0.17880685551233835,26
617,SO2,0.17840947717111913,27
618,SO2,0.187673243424507,28
619,SO2,0.17709517025083785,29
620,SO2,0.19340238771781745,30
621,SO2,0.1793185546690564,31
622,SO2,0.1828451078168688,32
623,SO2,0.1827543179562897,33
624,SO2,0.1740596645040066,34
625,SO2,0.1888154619145383,35
626,SO2,0.19048687680841564,36
627,SO2,0.1800503783364744,37
628,SO2,0.17543568460645573,38
629,SO2,0.17596376145209636,39
630,SO2,0.19076557748773554,40
631,SO2,0.17113145704472985,41
632,SO2,0.18916380084635326,42
633,SO2,0.18072664150090728,43
634,SO2,0.17261996661149426,44
635,SO2,0.18751356473099395,45
636,SO2,0.17584681679148853,46
637,SO2,0.16799211485600368,47
638,SO2,0.18278503520060804,48
639,SO2,0.18376134221623686,49
640,SO2,0.1793810659512393,50
641,SO2,0.17618488258077655,51
642,SO2,0.17178818046387867,52
643,SO2,0.17273485529796262,53
644,SO2,0.17880442465440374,54
645,SO2,0.1745694859589727,55
646,SO2,0.1794349418485151,56
647,SO2,0.17522319842202522,57
648,SO2,0.16997621647669212,58
649,SO2,0.16878562317005907,59
650,SO2,0.18097958975882086,60
651,SO2,0.17334299333128225,61
652,SO2,0.16363385722999432,62
653,SO2,0.1730586917873807,63
654,SO2,0.17462070964482987,64
655,SO2,0.16669841706836822,65
656,SO2,0.17356909952455643,66
657,SO2,0.16616157685988883,67
658,SO2,0.16571325856148034,68
659,SO2,0.16577874984073446,69
660,SO2,0.1695815057973123,70
661,SO2,0.1617369949658184,71
662,SO2,0.1676769290112082,72
951,PM10mean,0.43376002164673383,1
952,PM10mean,0.5126962412684984,2
953,PM10mean,0.5386869963179299,3
954,PM10mean,0.5358665548639248,4
955,PM10mean,0.5964750927780522,5
956,PM10mean,0.5963012524495186,6
957,PM10mean,0.5461830077548663,7
958,PM10mean,0.5651486314383851,8
959,PM10mean,0.49037915591397063,9
960,PM10mean,0.579634908126502,10
961,PM10mean,0.4718255224298391,11
962,PM10mean,0.609029522002638,12
963,PM10mean,0.4638860730996619,13
964,PM10mean,0.5518852192504738,14
965,PM10mean,0.5462790873997193,15
966,PM10mean,0.5309982465592025,16
967,PM10mean,0.44665965549323955,17
968,PM10mean,0.5538678723325374,18
969,PM10mean,0.4567489359585002,19
970,PM10mean,0.5484060521514953,20
971,PM10mean,0.5278758138697203,21
972,PM10mean,0.44389012261991284,22
973,PM10mean,0.44149118384622904,23
974,PM10mean,0.5796899396805484,24
975,PM10mean,0.47623120569065913,25
976,PM10mean,0.4399347617305472,26
977,PM10mean,0.46053014652742685,27
978,PM10mean,0.5003382097446529,28
979,PM10mean,0.43343268582001343,29
980,PM10mean,0.5405529310417723,30
981,PM10mean,0.4033456751246626,31
982,PM10mean,0.4725249608176824,32
983,PM10mean,0.42220527315283285,33
984,PM10mean,0.4304308047209431,34
985,PM10mean,0.5049337386148346,35
986,PM10mean,0.460230363956836,36
987,PM10mean,0.39846661395426375,37
988,PM10mean,0.4107323432721572,38
989,PM10mean,0.4181924368544108,39
990,PM10mean,0.47453740809366596,40
991,PM10mean,0.3850104100947631,41
992,PM10mean,0.474705565362718,42
993,PM10mean,0.377125027595378,43
994,PM10mean,0.4018569212798551,44
995,PM10mean,0.42822477080115295,45
996,PM10mean,0.3788319308585866,46
997,PM10mean,0.3795330589627903,47
998,PM10mean,0.4478501234030052,48
999,PM10mean,0.3886478534021692,49
1000,PM10mean,0.3928786539368894,50
1001,PM10mean,0.36694355902863357,51
1002,PM10mean,0.36741091018352184,52
1003,PM10mean,0.36797076035839554,53
1004,PM10mean,0.39944754331949844,54
1005,PM10mean,0.3713247162874423,55
1006,PM10mean,0.39466313177039497,56
